,type,features,nom,id,essonne,cpts,cpts_code,indicateur_1,indicateur_2,indicateur_3,indicateur_4
1351,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.3538741054199024, 48.701781838880066], [2.351677731478892, 48.70247151116366], [2.3556953525430724, 48.71388054187948], [2.344130876678268, 48.71693867375812], [2.345972119843125, 48.73164589757381], [2.3539482151185047, 48.73866005105349], [2.3693475265469934, 48.7460638385452], [2.3704373630528788, 48.727864836593746], [2.3707067322771356, 48.720175922532974], [2.3714556502684343, 48.707641368283], [2.3538741054199024, 48.701781838880066]]]}, 'properties': {'code': '91479', 'nom': 'Paray-Vieille-Poste'}}",Paray-Vieille-Poste,91479,True,Nord Essonne - Hygie,3,7,5,1,7
1352,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.3449524468894705, 48.34559785223724], [2.327292872235835, 48.349196762503595], [2.352653251825941, 48.35705768734256], [2.3830112326456243, 48.35848827139812], [2.3853643121395756, 48.34773985119375], [2.3449524468894705, 48.34559785223724]]]}, 'properties': {'code': '91507', 'nom': 'Prunay-sur-Essonne'}}",Prunay-sur-Essonne,91507,True,Val d Essonne et des 2 Vallées,9,9,4,0,5
1353,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.254452154739726, 48.3419676918258], [2.2463104426214158, 48.32995855018675], [2.2295896096201426, 48.32923011415469], [2.20708954280929, 48.34494415576116], [2.2306703982167955, 48.34668320574993], [2.2359569999819686, 48.36093322605407], [2.2537430390243065, 48.36152343845664], [2.254452154739726, 48.3419676918258]]]}, 'properties': {'code': '91526', 'nom': 'Roinvilliers'}}",Roinvilliers,91526,True,PEPS,5,9,3,5,5
1354,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.1233140027397464, 48.715979371317076], [2.1438583863672642, 48.72311752106629], [2.1551015002546476, 48.718061618926555], [2.151469284476556, 48.707349946944944], [2.13639199007292, 48.706018447421556], [2.1233140027397464, 48.715979371317076]]]}, 'properties': {'code': '91538', 'nom': 'Saint-Aubin'}}",Saint-Aubin,91538,True,Val d Yvette,12,7,6,4,0
1862,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.156171538892291, 48.34706666386154], [2.1703320693630257, 48.34012166216794], [2.1724785583196184, 48.3323538131618], [2.1605990363063095, 48.32589090646151], [2.1708351011658147, 48.315039897569825], [2.169024017763206, 48.31269679773032], [2.1538775336805545, 48.3084055571134], [2.1295196327481944, 48.315688056039306], [2.13137506355887, 48.32342170626509], [2.156171538892291, 48.34706666386154]]]}, 'properties': {'code': '91022', 'nom': 'Arrancourt'}}",Arrancourt,91022,True,PEPS,5,5,2,9,2
1863,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.3449524468894705, 48.34559785223724], [2.3853643121395756, 48.34773985119375], [2.3923715244617507, 48.335872616428915], [2.402664267131608, 48.320719459421184], [2.3852477025971024, 48.3114978985043], [2.3633170494167093, 48.3096026924482], [2.3446875860763154, 48.31700270873363], [2.3293101142988375, 48.332833056850774], [2.3449524468894705, 48.34559785223724]]]}, 'properties': {'code': '91069', 'nom': 'Boigneville'}}",Boigneville,91069,True,Val d Essonne et des 2 Vallées,9,7,9,1,3
1864,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.1902378300676126, 48.73928984710275], [2.204036107205519, 48.73691812290867], [2.212902284262253, 48.728791792979074], [2.2034622493012392, 48.72104768480697], [2.18265395680234, 48.72771599614562], [2.1902378300676126, 48.73928984710275]]]}, 'properties': {'code': '91635', 'nom': 'Vauhallan'}}",Vauhallan,91635,True,Noé Santé,4,6,0,7,4
2383,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.27663957792735, 48.341988310165085], [2.254452154739726, 48.3419676918258], [2.2537430390243065, 48.36152343845664], [2.258715758940394, 48.372720215294216], [2.267289625800714, 48.37183782631473], [2.3087275434393346, 48.36915370417772], [2.3029014300394555, 48.35637952188942], [2.28580676771233, 48.345723861243016], [2.27663957792735, 48.341988310165085]]]}, 'properties': {'code': '91399', 'nom': 'Mespuits'}}",Mespuits,91399,True,PEPS,5,6,2,6,2
2384,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.0141722364782457, 48.337827033592866], [1.9823444829344874, 48.3283170648452], [1.9699915637784469, 48.33969146951863], [1.972909991776815, 48.354050198341305], [1.9873561396451054, 48.36380202558544], [2.011343357978531, 48.36341975759944], [2.0159317114647304, 48.370044148696515], [2.0279924810936083, 48.36117315644689], [2.012052275293351, 48.354428078310924], [2.0141722364782457, 48.337827033592866]]]}, 'properties': {'code': '91511', 'nom': 'Pussay'}}",Pussay,91511,True,PEPS,5,7,4,9,9
2385,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.1486514992464762, 48.48069083390285], [2.1209127863287773, 48.467641527904696], [2.121679018898363, 48.4913892720908], [2.101284659227212, 48.499927375959324], [2.1071245432183705, 48.509156791894256], [2.108030474792001, 48.52117376616658], [2.122423611978752, 48.5294225494406], [2.143553586484103, 48.52276648525697], [2.1501754946777316, 48.509427484765276], [2.151481604729921, 48.50150199590093], [2.139086278179216, 48.48799906288406], [2.1486514992464762, 48.48069083390285]]]}, 'properties': {'code': '91662', 'nom': 'Villeconin'}}",Villeconin,91662,True,Sud Hurepoix,8,6,3,8,2
2922,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.275053970944429, 48.46299687942931], [2.281768613994246, 48.45965498305527], [2.2772569322863085, 48.449380459944926], [2.3038856911183765, 48.439134987005716], [2.318955219090848, 48.4417190034295], [2.3286212848671144, 48.4334071696729], [2.3248368226318097, 48.42491076666703], [2.3205905983058317, 48.42086496110255], [2.2887064177555128, 48.411807156177666], [2.2837558562250604, 48.41907382975992], [2.243926079540103, 48.41331153973541], [2.2449731795796115, 48.43544147760722], [2.2394828400724016, 48.443926343903186], [2.24852868622901, 48.44964288848043], [2.262594157504228, 48.45055879888806], [2.275053970944429, 48.46299687942931]]]}, 'properties': {'code': '91100', 'nom': 'Bouville'}}",Bouville,91100,True,Val d Essonne et des 2 Vallées,9,6,8,5,6
2923,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.4864226562234926, 48.615741863405276], [2.490357142177879, 48.60735716018245], [2.482368683850292, 48.58256729233455], [2.481253208809743, 48.58020560791838], [2.4738489175580933, 48.57770832140336], [2.4695700366914006, 48.57855289872087], [2.4636782385803104, 48.595240125014065], [2.450467092051464, 48.59548571501212], [2.4503648342278734, 48.60264559597869], [2.4369814141572337, 48.61116464222899], [2.4703427226419548, 48.62549423744305], [2.471024322660051, 48.62518243413769], [2.4864226562234926, 48.615741863405276]]]}, 'properties': {'code': '91174', 'nom': 'Corbeil-Essonnes'}}",Corbeil-Essonnes,91174,True,Santé Seine Essonne,7,1,7,1,8
2924,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.072970737172452, 48.34020938559621], [2.106209970841588, 48.36374595171197], [2.1097847404091037, 48.37311665860906], [2.0951460680330674, 48.38409952355093], [2.1256468681325944, 48.38645177900922], [2.14754798717589, 48.377811977194575], [2.12919649687334, 48.37602306178147], [2.1329794523344483, 48.36773725072999], [2.1199679893962573, 48.327854297113774], [2.101834811442807, 48.33174009319662], [2.109160536847461, 48.34538180129216], [2.072970737172452, 48.34020938559621]]]}, 'properties': {'code': '91533', 'nom': 'Saclas'}}",Saclas,91533,True,PEPS,5,6,5,3,5
2925,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.1912696590168763, 48.66826423744232], [2.177108090322008, 48.655996791375564], [2.1554390568395445, 48.65933537369006], [2.1640951347694126, 48.675057031592985], [2.1912696590168763, 48.66826423744232]]]}, 'properties': {'code': '91560', 'nom': 'Saint-Jean-de-Beauregard'}}",Saint-Jean-de-Beauregard,91560,True,Val d Yvette,12,6,4,1,4
3458,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.1753661745338744, 48.520157624568334], [2.1822783664222345, 48.51805527308051], [2.1911026890911174, 48.51134145562897], [2.17643140517264, 48.50492524993011], [2.1784961537156975, 48.49583518551317], [2.151481604729921, 48.50150199590093], [2.1501754946777316, 48.509427484765276], [2.1753661745338744, 48.520157624568334]]]}, 'properties': {'code': '91148', 'nom': 'Chauffour-lès-Étréchy'}}",Chauffour-lès-Étréchy,91148,True,Sud Hurepoix,8,7,0,4,7
3459,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.1326659405081494, 48.65538480334842], [2.138656349758428, 48.66510716928048], [2.1554390568395445, 48.65933537369006], [2.177108090322008, 48.655996791375564], [2.166261359294829, 48.64659190216705], [2.181789640372368, 48.63185851844057], [2.160241168256228, 48.62917183670895], [2.1326659405081494, 48.65538480334842]]]}, 'properties': {'code': '91319', 'nom': 'Janvry'}}",Janvry,91319,True,Val d Yvette,12,7,6,0,4
3460,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.4070568156987586, 48.66741901766304], [2.429370566881663, 48.653549722121], [2.4377609929703827, 48.6484714220005], [2.413329247562272, 48.636075294324215], [2.3992705490796666, 48.62410454316675], [2.3835294959957563, 48.62997897821704], [2.3914229563093214, 48.64319751872618], [2.4070568156987586, 48.66741901766304]]]}, 'properties': {'code': '91521', 'nom': 'Ris-Orangis'}}",Ris-Orangis,91521,True,Centre Essonne,0,5,8,7,8
3461,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.2904352662926186, 48.58106493191001], [2.262575480413014, 48.59348950737135], [2.257901711932703, 48.5912385361503], [2.2429001629479366, 48.60369295932137], [2.236369123525524, 48.612538856239894], [2.257737304354837, 48.613366623147456], [2.2681208783644116, 48.606180515237924], [2.2905802881458794, 48.592382329579785], [2.2904352662926186, 48.58106493191001]]]}, 'properties': {'code': '91552', 'nom': 'Saint-Germain-lès-Arpajon'}}",Saint-Germain-lès-Arpajon,91552,True,Cur Essonne,1,2,7,3,7
3978,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.1326659405081494, 48.65538480334842], [2.160241168256228, 48.62917183670895], [2.1432328326543204, 48.620334036754166], [2.142411925454261, 48.60998317440354], [2.1300870122969986, 48.603084029696134], [2.123746751000991, 48.60992823941598], [2.1002689271435906, 48.61363928697105], [2.11968406202115, 48.62887900770344], [2.117932133813971, 48.63781657732498], [2.1196361395077465, 48.65189801691856], [2.1326659405081494, 48.65538480334842]]]}, 'properties': {'code': '91111', 'nom': 'Briis-sous-Forges'}}",Briis-sous-Forges,91111,True,Sud Hurepoix,8,6,8,3,3
3979,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.3485563642198275, 48.47207752117151], [2.3455183029823234, 48.4553093680351], [2.353154712086234, 48.4513477620477], [2.3286212848671144, 48.4334071696729], [2.318955219090848, 48.4417190034295], [2.307421253152361, 48.45402261656605], [2.292920353380398, 48.45920912249712], [2.304068646575952, 48.46717394733659], [2.3161221549413944, 48.46303362198887], [2.3441606587253245, 48.47629963001473], [2.3485563642198275, 48.47207752117151]]]}, 'properties': {'code': '91198', 'nom': ""D'Huison-Longueville""}}",D'Huison-Longueville,91198,True,Val d Essonne et des 2 Vallées,9,2,0,3,9
3980,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.518164313867673, 48.66037317213775], [2.5103167717680006, 48.65886602317709], [2.491619382121478, 48.639412478063754], [2.471024322660051, 48.62518243413769], [2.4703427226419548, 48.62549423744305], [2.452264167268353, 48.63760993335715], [2.466196092375708, 48.6475767557124], [2.4690817148449455, 48.6628631327631], [2.5042470974605244, 48.67181155368669], [2.518164313867673, 48.66037317213775]]]}, 'properties': {'code': '91225', 'nom': 'Étiolles'}}",Étiolles,91225,True,Santé Seine Essonne,7,4,3,0,2
4502,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.1788305796024168, 48.36805485687769], [2.2096928767014825, 48.38370393829299], [2.2220834004275147, 48.368778556372085], [2.229800691687992, 48.36092035947594], [2.188440136156977, 48.36047332961472], [2.1788305796024168, 48.36805485687769]]]}, 'properties': {'code': '91374', 'nom': 'Marolles-en-Beauce'}}",Marolles-en-Beauce,91374,True,PEPS,5,1,7,0,4
4503,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.1015772241090014, 48.554789047173735], [2.093124495315947, 48.55225096339218], [2.060760181158075, 48.54952582699318], [2.05576172301694, 48.54793889763698], [2.0546499871175787, 48.57652871363821], [2.0758581863668506, 48.577774834153225], [2.087153990526168, 48.593964682418424], [2.092980255168612, 48.5934784666559], [2.1082748474972846, 48.5840674243865], [2.1015772241090014, 48.554789047173735]]]}, 'properties': {'code': '91630', 'nom': 'Val-Saint-Germain'}}",Val-Saint-Germain,91630,True,Sud Hurepoix,8,0,0,5,3
5019,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.2029727633850356, 48.6283769756652], [2.1990249585383013, 48.6176638570633], [2.2133387535731073, 48.606811685165276], [2.2022334476932817, 48.59808849097675], [2.203207436168759, 48.58443501961772], [2.2136357781962617, 48.58251631849728], [2.1990977808097467, 48.5800894563794], [2.1660172624010468, 48.58093272275996], [2.1534426190469933, 48.5771376372889], [2.147518629854383, 48.583779269644744], [2.173462311405794, 48.587695533588324], [2.1699452327312407, 48.60342256852876], [2.1845226935872746, 48.628036201651234], [2.202022129426071, 48.62842458361314], [2.2029727633850356, 48.6283769756652]]]}, 'properties': {'code': '91115', 'nom': 'Bruyères-le-Châtel'}}",Bruyères-le-Châtel,91115,True,Sud Hurepoix,8,3,0,0,5
5020,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.5047508258022617, 48.44793870522073], [2.505029386286944, 48.42985686018252], [2.4904239842174745, 48.4262413718133], [2.4610926940931384, 48.42475327025847], [2.468439836010719, 48.44407508225696], [2.497940704914491, 48.45726638241757], [2.5047508258022617, 48.44793870522073]]]}, 'properties': {'code': '91180', 'nom': 'Courances'}}",Courances,91180,True,Val d Essonne et des 2 Vallées,9,4,1,1,8
5021,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[1.962684812583082, 48.56047797560886], [1.9787832030076382, 48.553654167165384], [2.01757406029729, 48.55759738742344], [2.02444974098962, 48.550061170802636], [2.05069287113412, 48.5457664364405], [2.035217176775202, 48.53486881877048], [2.0403805473950936, 48.51327874045439], [2.03232828721902, 48.501293030822424], [2.0207355868779344, 48.51821950048719], [1.9951718850716984, 48.514497476138146], [1.9782530148390665, 48.505770466566176], [1.963851483099292, 48.51448943262779], [1.9676691168255507, 48.52623615133513], [1.9674261909808515, 48.53307136184394], [1.9341251872332321, 48.54864719464459], [1.9378872442847588, 48.562931040710545], [1.962684812583082, 48.56047797560886]]]}, 'properties': {'code': '91200', 'nom': 'Dourdan'}}",Dourdan,91200,True,Sud Hurepoix,8,5,5,2,0
5022,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.4864226562234926, 48.615741863405276], [2.471024322660051, 48.62518243413769], [2.491619382121478, 48.639412478063754], [2.5052227169216263, 48.63185089175152], [2.5114009047778754, 48.62274630106967], [2.4864226562234926, 48.615741863405276]]]}, 'properties': {'code': '91553', 'nom': 'Saint-Germain-lès-Corbeil'}}",Saint-Germain-lès-Corbeil,91553,True,Santé Seine Essonne,7,4,7,0,9
5532,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.0141722364782457, 48.337827033592866], [2.043787279615655, 48.33304913390594], [2.029278335358152, 48.3061085574255], [2.0364760290667587, 48.29677352571318], [2.052708364877964, 48.29547390947902], [2.051468166250331, 48.290209158273726], [1.9940847180593788, 48.286585877943075], [1.9752916566344318, 48.28719843612737], [1.9619051599442254, 48.302846384816455], [1.9592272366957604, 48.308689574530625], [1.9799848326906437, 48.31848007972407], [1.9823444829344874, 48.3283170648452], [2.0141722364782457, 48.337827033592866]]]}, 'properties': {'code': '91016', 'nom': 'Angerville'}}",Angerville,91016,True,PEPS,5,1,2,9,1
5533,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.2111183624632913, 48.569617645787375], [2.198514645416659, 48.575668582994176], [2.1990977808097467, 48.5800894563794], [2.2136357781962617, 48.58251631849728], [2.2348956939118882, 48.588969894787596], [2.2380791014340615, 48.576135402844734], [2.226369144502723, 48.56675815267651], [2.2111183624632913, 48.569617645787375]]]}, 'properties': {'code': '91207', 'nom': 'Égly'}}",Égly,91207,True,Cur Essonne,1,5,7,4,6
5534,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.543107353781088, 48.68676317582502], [2.5475705913553197, 48.67177695195625], [2.53361600680745, 48.65733138882678], [2.518164313867673, 48.66037317213775], [2.5042470974605244, 48.67181155368669], [2.521284434975298, 48.68145163396329], [2.543107353781088, 48.68676317582502]]]}, 'properties': {'code': '91514', 'nom': 'Quincy-sous-Sénart'}}",Quincy-sous-Sénart,91514,True,Val d Yerres,11,9,9,9,1
6040,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.1560305993148856, 48.348280319158945], [2.188440136156977, 48.36047332961472], [2.229800691687992, 48.36092035947594], [2.2359569999819686, 48.36093322605407], [2.2306703982167955, 48.34668320574993], [2.20708954280929, 48.34494415576116], [2.1850250743740536, 48.326430453135316], [2.181484169906028, 48.31379135222639], [2.1708351011658147, 48.315039897569825], [2.1605990363063095, 48.32589090646151], [2.1724785583196184, 48.3323538131618], [2.1703320693630257, 48.34012166216794], [2.156171538892291, 48.34706666386154], [2.1560305993148856, 48.348280319158945]]]}, 'properties': {'code': '91001', 'nom': 'Abbéville-la-Rivière'}}",Abbéville-la-Rivière,91001,True,PEPS,5,3,9,6,7
6041,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.0330469522717345, 48.598197316282], [2.054815014596516, 48.6079616819198], [2.05954009548557, 48.59789680313954], [2.0779102195230963, 48.59906603782046], [2.087153990526168, 48.593964682418424], [2.0758581863668506, 48.577774834153225], [2.0546499871175787, 48.57652871363821], [2.035741451799255, 48.58886342431221], [2.0330469522717345, 48.598197316282]]]}, 'properties': {'code': '91017', 'nom': 'Angervilliers'}}",Angervilliers,91017,True,Sud Hurepoix,8,5,4,1,7
6042,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.053903210778219, 48.65917532987829], [2.0614436222941093, 48.6468212473795], [2.0416223780761094, 48.626891182347286], [2.0359585589705658, 48.64190412509224], [2.020277135084389, 48.64209105484135], [2.0116578183471545, 48.65357913961867], [2.028902045077204, 48.663741819935744], [2.0420719870877853, 48.66386637824301], [2.053903210778219, 48.65917532987829]]]}, 'properties': {'code': '91482', 'nom': 'Pecqueuse'}}",Pecqueuse,91482,True,Val d Yvette,12,1,3,5,9
6560,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.23403801009056, 48.54005379846772], [2.2235545837637156, 48.55088898889505], [2.226369144502723, 48.56675815267651], [2.2380791014340615, 48.576135402844734], [2.241596210061337, 48.57853275596378], [2.2591868941062705, 48.57323711062458], [2.263504914735424, 48.56210909794976], [2.2533027356976962, 48.54191256868632], [2.258799758637183, 48.53256408320481], [2.2488256762398855, 48.53195272063503], [2.23403801009056, 48.54005379846772]]]}, 'properties': {'code': '91041', 'nom': 'Avrainville'}}",Avrainville,91041,True,Cur Essonne,1,6,5,8,7
6561,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.4127003677144576, 48.45627251706655], [2.412343766898887, 48.44583480177091], [2.4224109535799374, 48.43418867098048], [2.4239319078118373, 48.421240873290245], [2.416290576127806, 48.415571566448854], [2.387445387673878, 48.41131457674957], [2.373362427118079, 48.43411971429808], [2.3624791403929195, 48.44860027886178], [2.3998715460130176, 48.46041870293054], [2.4127003677144576, 48.45627251706655]]]}, 'properties': {'code': '91099', 'nom': 'Boutigny-sur-Essonne'}}",Boutigny-sur-Essonne,91099,True,Val d Essonne et des 2 Vallées,9,3,8,5,2
6562,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.3029014300394555, 48.35637952188942], [2.3087275434393346, 48.36915370417772], [2.327215707162357, 48.3784641564381], [2.3621068285398197, 48.37680367632544], [2.386682851835512, 48.3816928212583], [2.3830112326456243, 48.35848827139812], [2.352653251825941, 48.35705768734256], [2.327292872235835, 48.349196762503595], [2.3029014300394555, 48.35637952188942]]]}, 'properties': {'code': '91273', 'nom': 'Gironville-sur-Essonne'}}",Gironville-sur-Essonne,91273,True,Val d Essonne et des 2 Vallées,9,6,3,7,8
6563,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.093124495315947, 48.55225096339218], [2.122423611978752, 48.5294225494406], [2.108030474792001, 48.52117376616658], [2.1071245432183705, 48.509156791894256], [2.0962962769015867, 48.51368110690891], [2.074033626531147, 48.50994713643324], [2.063763021584363, 48.53388703197624], [2.060760181158075, 48.54952582699318], [2.093124495315947, 48.55225096339218]]]}, 'properties': {'code': '91593', 'nom': 'Sermaise'}}",Sermaise,91593,True,Sud Hurepoix,8,2,0,1,7
7083,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.402787720052907, 48.56319572830586], [2.390374937466352, 48.557222556612956], [2.383194196426869, 48.56630722601154], [2.385247043383429, 48.58195230137299], [2.393595268370176, 48.58927254462244], [2.4131763531518207, 48.5867709875131], [2.4222340480978164, 48.573222979020514], [2.402787720052907, 48.56319572830586]]]}, 'properties': {'code': '91204', 'nom': 'Écharcon'}}",Écharcon,91204,True,Val d Essonne et des 2 Vallées,9,3,5,1,9
7084,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.23403801009056, 48.54005379846772], [2.2488256762398855, 48.53195272063503], [2.235403341803649, 48.52167452041211], [2.2203572472881947, 48.53172445675242], [2.23403801009056, 48.54005379846772]]]}, 'properties': {'code': '91619', 'nom': 'Torfou'}}",Torfou,91619,True,Cur Essonne,1,0,3,5,5
7085,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.1912696590168763, 48.66826423744232], [2.1640951347694126, 48.675057031592985], [2.1612889849724706, 48.675568037477184], [2.1608544714128928, 48.68910258318944], [2.174244984346053, 48.69029344278195], [2.2047072212611045, 48.691058156266934], [2.20472891733492, 48.685166582862045], [2.2113866058146376, 48.67878834637867], [2.1954565975004243, 48.66887725311641], [2.1912696590168763, 48.66826423744232]]]}, 'properties': {'code': '91692', 'nom': 'Ulis'}}",Ulis,91692,True,Val d Yvette,12,5,7,3,9
7618,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.2939292380426766, 48.712127854683374], [2.2938065967968098, 48.70511123471633], [2.2848920427757387, 48.699121566597405], [2.268193302148987, 48.70387749032038], [2.259350272540408, 48.70648537617329], [2.266836157460963, 48.718278739159594], [2.2939292380426766, 48.712127854683374]]]}, 'properties': {'code': '91136', 'nom': 'Champlan'}}",Champlan,91136,True,Noé Santé,4,5,5,2,5
7619,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.4070568156987586, 48.66741901766304], [2.3963395410812343, 48.67353575082403], [2.385900735215422, 48.68348474452221], [2.389918982964489, 48.69186154369031], [2.400579260004066, 48.70177381629322], [2.425839414735737, 48.69572771294097], [2.4449596934625144, 48.67880912485714], [2.45474181742103, 48.6824791647946], [2.4640231432970254, 48.67285181169317], [2.429370566881663, 48.653549722121], [2.4070568156987586, 48.66741901766304]]]}, 'properties': {'code': '91201', 'nom': 'Draveil'}}",Draveil,91201,True,Val de Seine,13,1,1,9,3
7620,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.2904352662926186, 48.58106493191001], [2.313281782316677, 48.5757565682631], [2.317022752922144, 48.55291979421498], [2.29954723827506, 48.55156773050983], [2.282745477004074, 48.559464937277035], [2.28164512415866, 48.57251122478779], [2.2904352662926186, 48.58106493191001]]]}, 'properties': {'code': '91376', 'nom': 'Marolles-en-Hurepoix'}}",Marolles-en-Hurepoix,91376,True,Cur Essonne,1,0,0,3,4
7621,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.0665115807039864, 48.68689923957146], [2.0820789629661083, 48.68544592956703], [2.091530504658352, 48.683314494587975], [2.0971088502203936, 48.666292926329604], [2.076597918890009, 48.6603839973628], [2.053903210778219, 48.65917532987829], [2.0420719870877853, 48.66386637824301], [2.0647508154471477, 48.67507542085544], [2.0665115807039864, 48.68689923957146]]]}, 'properties': {'code': '91411', 'nom': 'Molières'}}",Molières,91411,True,Val d Yvette,12,7,2,3,3
8161,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.2904352662926186, 48.58106493191001], [2.2905802881458794, 48.592382329579785], [2.2681208783644116, 48.606180515237924], [2.282544095671399, 48.61773753303217], [2.292714326039, 48.626155087773526], [2.3289347346009843, 48.619510202871396], [2.32006084440856, 48.60911513583428], [2.326590094046657, 48.592942326916614], [2.313281782316677, 48.5757565682631], [2.2904352662926186, 48.58106493191001]]]}, 'properties': {'code': '91103', 'nom': 'Brétigny-sur-Orge'}}",Brétigny-sur-Orge,91103,True,Cur Essonne,1,7,8,9,2
8162,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.1187451655882814, 48.59195380756235], [2.1300870122969986, 48.603084029696134], [2.142411925454261, 48.60998317440354], [2.159179074080468, 48.59982970452883], [2.146352572302604, 48.58710836281826], [2.1424167010920994, 48.59147001956932], [2.1187451655882814, 48.59195380756235]]]}, 'properties': {'code': '91186', 'nom': 'Courson-Monteloup'}}",Courson-Monteloup,91186,True,Sud Hurepoix,8,2,0,4,6
8163,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.072970737172452, 48.34020938559621], [2.0618315653210164, 48.34351378085326], [2.0585894946657772, 48.35725436091282], [2.0441888695823502, 48.36072907807555], [2.050594168894207, 48.38510966658161], [2.071615030046243, 48.39259097354121], [2.0951460680330674, 48.38409952355093], [2.1097847404091037, 48.37311665860906], [2.106209970841588, 48.36374595171197], [2.072970737172452, 48.34020938559621]]]}, 'properties': {'code': '91294', 'nom': 'Guillerval'}}",Guillerval,91294,True,PEPS,5,8,8,5,5
8164,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.2264149854342636, 48.75003536744732], [2.238024480498268, 48.735556866087364], [2.2354627183722604, 48.72756225721492], [2.212902284262253, 48.728791792979074], [2.204036107205519, 48.73691812290867], [2.2264149854342636, 48.75003536744732]]]}, 'properties': {'code': '91312', 'nom': 'Igny'}}",Igny,91312,True,Noé Santé,4,2,8,9,3
